== cumulated value-added loss (mUSD), % of a quarter, peak week (% of a week's VA), loss weeks (> 0.01 % of a week) ==
   gross = weekly shortfalls clipped at zero; net = backlog left at the end for goods and construction (A-F) + gross for the perishable sectors; delay = carrying cost of the backlog while outstanding
run                        2026_fc0910_base  2018_baseline  2026_fc0910_nopool  2018_nopool  2026_fc0910_seed1  2026_fc0910_seed2  2026_fc0910_seed3  2026_fc0910_seed4  2026_fc0910_seed5  2026_fc0910_seed6  2026_fc0910_seed7  2026_fc0910_seed8  2026_fc0910_seed9  2026_fc0910_seed10  2026_fc0910_deep20  2026_fc0910_fleet40  2026_fc0910_fleet20  2026_fc0910_stock7  2026_fc0910_stock7t  2026_fc0910_rail04  2026_fc0910_package  2026_fc0910_liq60  2026_fc0910_floors_m10  2026_fc0910_floors_p10  2026_fc0910_inv050  2026_fc0910_inv150  2026_fc0910_lr0  2026_fc0910_lr1
DEU_loss_weeks                       17.000         12.000              17.000       12.000             18.000             17.000             18.000             16.000             18.000             19.000             18.000             18.000             18.000              17.000              13.000               13.000                8.000              15.000               16.000              17.000                 0.00             19.000                  13.000                  19.000              25.000              15.000           17.000           17.000

== other countries ==
run                        2026_fc0910_base  2018_baseline  2026_fc0910_nopool  2018_nopool  2026_fc0910_seed1  2026_fc0910_seed2  2026_fc0910_seed3  2026_fc0910_seed4  2026_fc0910_seed5  2026_fc0910_seed6  2026_fc0910_seed7  2026_fc0910_seed8  2026_fc0910_seed9  2026_fc0910_seed10  2026_fc0910_deep20  2026_fc0910_fleet40  2026_fc0910_fleet20  2026_fc0910_stock7  2026_fc0910_stock7t  2026_fc0910_rail04  2026_fc0910_package  2026_fc0910_liq60  2026_fc0910_floors_m10  2026_fc0910_floors_p10  2026_fc0910_inv050  2026_fc0910_inv150  2026_fc0910_lr0  2026_fc0910_lr1
NLD_net_mUSD                         83.000         46.000            5063.000      204.000            157.000             83.000            193.000            131.000            123.000             91.000             71.000            100.000            185.000              82.000              69.000               94.000               37.000              69.000               70.000              90.000                  0.0             65.000                  76.000                  65.000            1569.000              72.000           88.000           88.000
NLD_delay_mUSD                        4.900          1.900              99.600       10.100              7.300              3.300              8.600              5.600              4.000              3.200              2.600              4.900              7.900               2.100               2.900                3.900                1.600               4.300                4.100               4.200                  0.0              3.900                   3.200                   3.900              30.200               4.400            4.100            4.100
NLD_net_deferrable_mUSD              38.000          9.000            3014.000      135.000            125.000             27.000            162.000             80.000             37.000             22.000             25.000             74.000            142.000              12.000              31.000               48.000               24.000              47.000               46.000              45.000                  0.0             33.000                  36.000                  33.000             752.000              50.000           43.000           43.000
NLD_gross_perishable_mUSD            44.000         37.000            2049.000       69.000             32.000             57.000             31.000             50.000             87.000             69.000             46.000             26.000             43.000              70.000              38.000               46.000               13.000              22.000               24.000              45.000                  0.0             32.000                  40.000                  32.000             818.000              22.000           44.000           44.000
AUT_net_mUSD                        177.000        109.000            4414.000     2068.000             24.000            116.000            120.000            266.000            112.000            153.000            131.000            126.000             29.000             209.000             150.000              173.000               64.000              13.000               24.000             177.000                  0.0            149.000                 158.000                 149.000            3496.000              76.000          177.000          177.000
AUT_delay_mUSD                        0.800          0.100              38.900       14.000              0.600              0.800              0.900              0.300              0.800              0.700              0.400              0.800              0.700               0.700               0.000                0.700                0.200               0.600                0.600               0.600                  0.0              0.600                   0.200                   0.600              56.100               0.600            0.600            0.600
