run,label,DEU_gross_mUSD,DEU_net_mUSD,DEU_avoided_gross_mUSD,DEU_avoided_net_mUSD,DEU_avoided_gross_%,EU_gross_mUSD,EU_net_mUSD,EU_avoided_gross_mUSD,EU_avoided_net_mUSD,EU_avoided_gross_%,DEU_peak_%week,DEU_peak_week,DEU_delay_mUSD
deep20,Fairway +20 cm (Abladeoptimierung Mittelrhein),17320.0,16151.0,8165.0,7827.0,32.03845399254463,18893.0,17596.0,9242.0,8776.0,32.84876488359694,3.492,16.0,212.1
fleet40,Tank barges sail to 40 cm,17612.0,16379.0,7873.0,7599.0,30.89268196978615,20000.0,18575.0,8135.0,7797.0,28.91416385285232,3.616,16.0,217.0
fleet20,Low-water bulk fleet (sails to 20 cm),2449.0,2354.0,23036.0,21624.0,90.39042574063174,3119.0,2960.0,25016.0,23412.0,88.91416385285233,0.892,9.0,6.9
stock7,"+7 days of input stocks, all buyers",9728.0,8970.0,15757.0,15008.0,61.828526584265255,11386.0,10391.0,16749.0,15981.0,59.53083348142883,2.408,16.0,100.4
stock7t,"+7 days of stocks, barge-dependent buyers",19300.0,18022.0,6185.0,5956.0,24.269177947812437,21310.0,19774.0,6825.0,6598.0,24.258041585214148,4.472,17.0,255.7
rail04,Rail at the bulk rate (tank-car trains),27646.0,26061.0,-2161.0,-2083.0,-8.479497743770846,30572.0,28696.0,-2437.0,-2324.0,-8.661809134529944,5.419,17.0,370.5
package,Package: fairway + fleet + stocks,1.0,1.0,25484.0,23977.0,99.99607612320973,5.0,5.0,28130.0,26367.0,99.98222854096322,0.0,15.0,0.0
