== cumulated value-added loss (mUSD), % of a quarter, peak week (% of a week's VA), loss weeks (> 0.01 % of a week) ==
   gross = weekly shortfalls clipped at zero; net = backlog left at the end for goods and construction (A-F) + gross for the perishable sectors; delay = carrying cost of the backlog while outstanding
run                        2018_cal_seed1  2018_cal_seed2  2018_cal_seed3  2018_cal_seed4  2018_cal_seed5  2018_cal_seed6  2018_cal_seed7  2018_cal_seed8  2018_cal_seed9  2018_cal_seed10
FRA_peak_week                      21.000          19.000          21.000          21.000          19.000          16.000          21.000          16.000          20.000           16.000
FRA_loss_weeks                      6.000           5.000          10.000           6.000           5.000           5.000           6.000           5.000          11.000            5.000
CHE_cum_mUSD                        1.000           1.000           1.000           1.000           1.000           1.000           1.000           1.000           1.000            1.000
CHE_%quarter                        0.001           0.001           0.000           0.000           0.001           0.001           0.000           0.001           0.000            0.001
CHE_peak_%week                      0.003           0.003           0.003           0.003           0.003           0.003           0.003           0.003           0.003            0.003
CHE_peak_week                      16.000          16.000          16.000          16.000          16.000          16.000          16.000          16.000          16.000           16.000
CHE_loss_weeks                      0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000            0.000
BEL_cum_mUSD                       24.000          28.000          35.000          31.000          25.000          23.000          25.000          17.000          31.000           23.000
BEL_%quarter                        0.018           0.021           0.026           0.023           0.018           0.017           0.018           0.012           0.023            0.017
BEL_peak_%week                      0.048           0.049           0.052           0.049           0.048           0.047           0.049           0.046           0.050            0.049
BEL_peak_week                      16.000          16.000          20.000          16.000          16.000          16.000          16.000          16.000          16.000           16.000
BEL_loss_weeks                      7.000           7.000           8.000           8.000           7.000           7.000           7.000           6.000           8.000            7.000

== weekly value-added loss of DEU (mUSD/week) ==
           2018_cal_seed1  2018_cal_seed2  2018_cal_seed3  2018_cal_seed4  2018_cal_seed5  2018_cal_seed6  2018_cal_seed7  2018_cal_seed8  2018_cal_seed9  2018_cal_seed10
time_step                                                                                                                                                                 
0                     0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
1                     0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
2                     0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
3                     0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
4                     0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
5                     0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
6                     0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
7                     0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
8                     0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
9                     0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
10                    0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
11                    0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
12                    0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
13                    0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
14                    0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
15                   27.6            28.5            16.5            23.2            33.7            32.7            29.0            31.2            16.8             30.5
16                  501.7           350.4           383.1           410.6           587.2           380.7           322.3           410.4           332.9            497.2
17                   29.9            37.5            16.7            25.5            40.1            42.6            35.2            36.8            18.4             36.0
18                  386.5           266.7           230.1           243.7           472.9           311.3           231.4           328.9           278.2            385.2
19                  567.7           483.6           401.6           492.1           842.7           529.7           426.6           523.2           397.6            581.9
20                  623.6           544.2           358.5           593.9           850.0           584.3           461.7           558.2           376.1            610.9
21                  679.8           819.0           384.8           977.2          1112.8           959.3           486.2           548.5           446.5            847.6
22                   37.8           487.7             4.8           634.0           479.2           599.4            33.2            33.0             6.4            335.6
23                   29.4            23.1             2.4             4.8            32.3            17.4            25.5            20.1             0.1              4.2
24                   15.8            12.7             0.4             1.6            15.3             7.0            12.2             5.2             0.0              0.5
25                    0.8             1.9             0.0             0.0             0.7             1.6             0.2             0.0             0.0              0.0
26                    0.0             0.0             0.0             0.0             0.0             0.1             0.0             0.0             0.0              0.0
