run,weeks,EU_cum_mUSD,EU_%quarter,EU_peak_%week,firms<99%_peak_%,cons_loss_cum_mUSD,cons_loss_peak_%,DEU_net_mUSD,DEU_delay_mUSD,DEU_net_deferrable_mUSD,DEU_gross_perishable_mUSD,NLD_net_mUSD,NLD_delay_mUSD,NLD_net_deferrable_mUSD,NLD_gross_perishable_mUSD,AUT_net_mUSD,AUT_delay_mUSD,AUT_net_deferrable_mUSD,AUT_gross_perishable_mUSD,FRA_net_mUSD,FRA_delay_mUSD,FRA_net_deferrable_mUSD,FRA_gross_perishable_mUSD,CHE_net_mUSD,CHE_delay_mUSD,CHE_net_deferrable_mUSD,CHE_gross_perishable_mUSD,BEL_net_mUSD,BEL_delay_mUSD,BEL_net_deferrable_mUSD,BEL_gross_perishable_mUSD,EU_net_mUSD,EU_delay_mUSD,EU_net_deferrable_mUSD,EU_gross_perishable_mUSD,DEU_cum_mUSD,DEU_%quarter,DEU_peak_%week,DEU_peak_week,DEU_loss_weeks,NLD_cum_mUSD,NLD_%quarter,NLD_peak_%week,NLD_peak_week,NLD_loss_weeks,AUT_cum_mUSD,AUT_%quarter,AUT_peak_%week,AUT_peak_week,AUT_loss_weeks,FRA_cum_mUSD,FRA_%quarter,FRA_peak_%week,FRA_peak_week,FRA_loss_weeks,CHE_cum_mUSD,CHE_%quarter,CHE_peak_%week,CHE_peak_week,CHE_loss_weeks,BEL_cum_mUSD,BEL_%quarter,BEL_peak_%week,BEL_peak_week,BEL_loss_weeks
2018_inv125,42,6940.0,0.169,0.44,2.95,5755.0,0.322,6135.0,72.1,1186.0,4948.0,35.0,2.4,20.0,15.0,75.0,0.1,1.0,73.0,224.0,1.6,17.0,207.0,2.0,0.1,1.0,0.0,10.0,0.2,0.0,10.0,6567.0,78.1,1245.0,5321.0,6383.0,0.668,1.821,21,11,97.0,0.042,0.127,16,8,76.0,0.069,0.301,16,8,253.0,0.039,0.137,16,7,2.0,0.001,0.003,17,0,23.0,0.017,0.049,16,7
2018_inv150,42,5360.0,0.13,0.404,2.65,4135.0,0.27,4736.0,46.9,774.0,3961.0,45.0,2.7,26.0,19.0,43.0,0.1,2.0,41.0,202.0,1.2,11.0,190.0,1.0,0.1,1.0,0.0,10.0,0.3,1.0,10.0,5102.0,53.1,839.0,4263.0,4874.0,0.51,1.665,21,11,107.0,0.046,0.127,16,8,44.0,0.04,0.234,16,5,229.0,0.035,0.123,16,7,1.0,0.001,0.003,16,0,24.0,0.018,0.049,16,7
2018_inv175,42,4361.0,0.106,0.364,2.62,3351.0,0.227,3795.0,32.8,531.0,3265.0,52.0,3.0,32.0,20.0,18.0,0.1,2.0,16.0,189.0,1.2,12.0,177.0,1.0,0.0,1.0,0.0,12.0,0.3,2.0,10.0,4127.0,39.4,605.0,3522.0,3917.0,0.41,1.489,21,10,111.0,0.048,0.127,16,8,19.0,0.017,0.067,16,6,215.0,0.033,0.123,16,7,1.0,0.001,0.003,16,0,26.0,0.019,0.049,16,7
2018_inv200,42,3498.0,0.085,0.305,2.61,2716.0,0.187,2973.0,21.7,336.0,2637.0,57.0,3.2,36.0,21.0,2.0,0.1,2.0,1.0,176.0,1.2,12.0,164.0,1.0,0.0,1.0,0.0,14.0,0.4,3.0,11.0,3277.0,28.7,417.0,2859.0,3087.0,0.323,1.253,21,9,114.0,0.049,0.127,16,8,3.0,0.003,0.023,16,2,203.0,0.031,0.116,16,6,1.0,0.001,0.003,16,0,26.0,0.019,0.049,16,7
2018_inv150_liq40,42,2498.0,0.061,0.222,2.65,1758.0,0.14,2019.0,16.6,267.0,1752.0,56.0,3.0,39.0,17.0,41.0,0.1,2.0,39.0,144.0,1.0,10.0,133.0,1.0,0.0,1.0,0.0,15.0,0.5,5.0,9.0,2323.0,23.2,352.0,1970.0,2115.0,0.221,0.843,21,8,95.0,0.04,0.127,16,8,42.0,0.038,0.234,16,3,167.0,0.026,0.123,16,5,1.0,0.001,0.003,16,0,22.0,0.016,0.049,16,7
2026_fc0910_inv200,31,6257.0,0.152,0.353,2.91,5419.0,0.247,5006.0,35.3,714.0,4292.0,87.0,4.8,61.0,25.0,15.0,0.7,12.0,2.0,530.0,14.7,256.0,274.0,4.0,0.2,4.0,0.0,17.0,0.6,5.0,12.0,5881.0,65.2,1216.0,4664.0,5178.0,0.542,1.418,17,14,168.0,0.072,0.147,9,12,17.0,0.015,0.034,9,8,607.0,0.093,0.207,9,11,4.0,0.002,0.004,8,0,33.0,0.024,0.057,9,9
