run,weeks,EU_cum_mUSD,EU_%quarter,EU_peak_%week,firms<99%_peak_%,cons_loss_cum_mUSD,cons_loss_peak_%,DEU_net_mUSD,DEU_delay_mUSD,DEU_net_deferrable_mUSD,DEU_gross_perishable_mUSD,NLD_net_mUSD,NLD_delay_mUSD,NLD_net_deferrable_mUSD,NLD_gross_perishable_mUSD,AUT_net_mUSD,AUT_delay_mUSD,AUT_net_deferrable_mUSD,AUT_gross_perishable_mUSD,FRA_net_mUSD,FRA_delay_mUSD,FRA_net_deferrable_mUSD,FRA_gross_perishable_mUSD,CHE_net_mUSD,CHE_delay_mUSD,CHE_net_deferrable_mUSD,CHE_gross_perishable_mUSD,BEL_net_mUSD,BEL_delay_mUSD,BEL_net_deferrable_mUSD,BEL_gross_perishable_mUSD,EU_net_mUSD,EU_delay_mUSD,EU_net_deferrable_mUSD,EU_gross_perishable_mUSD,DEU_cum_mUSD,DEU_%quarter,DEU_peak_%week,DEU_peak_week,DEU_loss_weeks,NLD_cum_mUSD,NLD_%quarter,NLD_peak_%week,NLD_peak_week,NLD_loss_weeks,AUT_cum_mUSD,AUT_%quarter,AUT_peak_%week,AUT_peak_week,AUT_loss_weeks,FRA_cum_mUSD,FRA_%quarter,FRA_peak_%week,FRA_peak_week,FRA_loss_weeks,CHE_cum_mUSD,CHE_%quarter,CHE_peak_%week,CHE_peak_week,CHE_loss_weeks,BEL_cum_mUSD,BEL_%quarter,BEL_peak_%week,BEL_peak_week,BEL_loss_weeks
2026_seed42_rates,23,4380.0,0.107,0.281,3.62,4062.0,0.208,3231.0,26.4,625.0,2606.0,188.0,5.1,121.0,67.0,307.0,0.3,7.0,300.0,65.0,1.3,29.0,35.0,3.0,0.1,2.0,1.0,32.0,0.7,15.0,17.0,3959.0,36.8,871.0,3088.0,3560.0,0.373,0.977,10,10,234.0,0.1,0.228,10,9,310.0,0.282,0.765,9,9,78.0,0.012,0.05,10,5,4.0,0.002,0.005,10,0,40.0,0.03,0.083,10,8
2026_seed42_pool,35,4158.0,0.101,0.271,3.53,4068.0,0.184,3356.0,40.4,567.0,2789.0,200.0,10.9,158.0,42.0,93.0,0.4,6.0,87.0,72.0,2.0,28.0,44.0,3.0,0.1,2.0,1.0,29.0,1.2,15.0,14.0,3911.0,61.8,872.0,3038.0,3546.0,0.371,0.992,8,10,225.0,0.096,0.251,9,9,95.0,0.087,0.311,8,8,82.0,0.013,0.038,8,5,3.0,0.002,0.005,12,0,35.0,0.026,0.08,9,7
2018_seed42_rates,30,10905.0,0.265,0.594,2.82,12407.0,0.977,7698.0,75.8,2928.0,4771.0,244.0,7.0,185.0,59.0,641.0,1.6,64.0,577.0,43.0,0.4,8.0,35.0,1.0,0.0,0.0,0.0,771.0,2.0,56.0,715.0,9718.0,89.3,3306.0,6412.0,8603.0,0.901,2.218,23,14,382.0,0.163,0.72,22,9,663.0,0.604,1.911,24,12,51.0,0.008,0.026,21,3,1.0,0.001,0.003,16,0,821.0,0.603,6.316,24,10
2018_seed42_pool,42,6074.0,0.148,0.297,3.38,6849.0,0.333,5198.0,91.3,1573.0,3625.0,171.0,8.7,130.0,40.0,87.0,0.1,1.0,85.0,55.0,0.5,6.0,49.0,4.0,0.0,0.0,3.0,35.0,1.2,17.0,18.0,5637.0,103.4,1747.0,3890.0,5570.0,0.583,1.226,21,13,201.0,0.086,0.215,16,9,88.0,0.08,0.305,16,10,64.0,0.01,0.033,16,5,4.0,0.002,0.01,22,1,42.0,0.031,0.069,16,9
