run,weeks,EU_cum_mUSD,EU_%quarter,EU_peak_%week,firms<99%_peak_%,cons_loss_cum_mUSD,cons_loss_peak_%,DEU_net_mUSD,DEU_delay_mUSD,DEU_net_deferrable_mUSD,DEU_gross_perishable_mUSD,NLD_net_mUSD,NLD_delay_mUSD,NLD_net_deferrable_mUSD,NLD_gross_perishable_mUSD,AUT_net_mUSD,AUT_delay_mUSD,AUT_net_deferrable_mUSD,AUT_gross_perishable_mUSD,FRA_net_mUSD,FRA_delay_mUSD,FRA_net_deferrable_mUSD,FRA_gross_perishable_mUSD,CHE_net_mUSD,CHE_delay_mUSD,CHE_net_deferrable_mUSD,CHE_gross_perishable_mUSD,BEL_net_mUSD,BEL_delay_mUSD,BEL_net_deferrable_mUSD,BEL_gross_perishable_mUSD,EU_net_mUSD,EU_delay_mUSD,EU_net_deferrable_mUSD,EU_gross_perishable_mUSD,DEU_cum_mUSD,DEU_%quarter,DEU_peak_%week,DEU_peak_week,DEU_loss_weeks,NLD_cum_mUSD,NLD_%quarter,NLD_peak_%week,NLD_peak_week,NLD_loss_weeks,AUT_cum_mUSD,AUT_%quarter,AUT_peak_%week,AUT_peak_week,AUT_loss_weeks,FRA_cum_mUSD,FRA_%quarter,FRA_peak_%week,FRA_peak_week,FRA_loss_weeks,CHE_cum_mUSD,CHE_%quarter,CHE_peak_%week,CHE_peak_week,CHE_loss_weeks,BEL_cum_mUSD,BEL_%quarter,BEL_peak_%week,BEL_peak_week,BEL_loss_weeks
2026_pipe_base,39,6216.0,0.151,0.351,2.87,5392.0,0.245,4964.0,49.6,710.0,4254.0,85.0,6.0,60.0,25.0,15.0,0.9,12.0,2.0,529.0,19.8,255.0,274.0,4.0,0.3,4.0,0.0,16.0,0.7,5.0,12.0,5835.0,89.4,1209.0,4626.0,5140.0,0.538,1.409,17,14,167.0,0.071,0.147,9,12,17.0,0.015,0.033,9,8,607.0,0.093,0.207,9,11,4.0,0.002,0.004,8,0,33.0,0.024,0.057,9,9
2026_gs_base,39,5817.0,0.141,0.28,2.62,6065.0,0.224,4417.0,50.2,664.0,3753.0,176.0,11.1,150.0,27.0,22.0,1.4,20.0,1.0,597.0,25.8,342.0,255.0,5.0,0.3,5.0,0.0,31.0,1.5,19.0,12.0,5590.0,109.3,1481.0,4109.0,4570.0,0.478,1.072,15,18,188.0,0.08,0.11,9,18,22.0,0.02,0.019,9,14,644.0,0.099,0.167,9,16,5.0,0.003,0.003,9,0,35.0,0.026,0.043,9,12
2018_pipe,42,3473.0,0.084,0.297,2.56,2701.0,0.182,2948.0,21.7,336.0,2612.0,57.0,3.2,36.0,21.0,2.0,0.1,2.0,1.0,176.0,1.2,12.0,164.0,1.0,0.0,1.0,0.0,14.0,0.4,3.0,11.0,3252.0,28.7,417.0,2834.0,3062.0,0.321,1.219,21,9,114.0,0.049,0.127,16,8,3.0,0.003,0.022,16,2,203.0,0.031,0.115,16,6,1.0,0.001,0.003,16,0,26.0,0.019,0.049,16,7
2018_gs,42,4852.0,0.118,0.181,2.49,4847.0,0.16,3523.0,38.1,514.0,3009.0,185.0,12.0,152.0,33.0,20.0,1.3,19.0,1.0,509.0,20.7,274.0,235.0,5.0,0.3,5.0,0.0,35.0,1.7,20.0,15.0,4603.0,93.0,1249.0,3355.0,3664.0,0.384,0.676,21,20,212.0,0.091,0.084,16,21,21.0,0.019,0.016,16,14,568.0,0.087,0.121,16,19,5.0,0.003,0.002,16,0,42.0,0.031,0.029,7,18
