run,label,DEU_gross_mUSD,DEU_net_mUSD,DEU_avoided_gross_mUSD,DEU_avoided_net_mUSD,DEU_avoided_gross_%,EU_gross_mUSD,EU_net_mUSD,EU_avoided_gross_mUSD,EU_avoided_net_mUSD,EU_avoided_gross_%,DEU_peak_%week,DEU_peak_week,DEU_delay_mUSD
deep20,Fairway +20 cm (Abladeoptimierung Mittelrhein),15350.0,14282.0,10813.0,10044.0,41.32935825402286,16431.0,15238.0,12092.0,11165.0,42.3938575886127,2.599,10.0,188.9
fleet40,Tank barges sail to 40 cm,15513.0,14420.0,10650.0,9906.0,40.70634101593854,17684.0,16378.0,10839.0,10025.0,38.000911545068895,2.618,10.0,192.8
fleet20,Low-water bulk fleet (sails to 20 cm),2300.0,2205.0,23863.0,22121.0,91.20895921721515,2878.0,2703.0,25645.0,23700.0,89.90989727588263,0.907,14.0,14.1
stock7,"+7 days of input stocks, all buyers",10072.0,9574.0,16091.0,14752.0,61.50288575469174,11281.0,10520.0,17242.0,15883.0,60.44946183781509,2.538,17.0,102.4
stock7t,"+7 days of stocks, barge-dependent buyers",19416.0,18098.0,6747.0,6228.0,25.78832702671712,21181.0,19595.0,7342.0,6808.0,25.740630368474566,3.881,17.0,230.5
rail04,Rail at the bulk rate (tank-car trains),29463.0,27706.0,-3300.0,-3380.0,-12.613232427473914,31937.0,29888.0,-3414.0,-3485.0,-11.969287943063492,5.924,18.0,371.5
package,Package: fairway + fleet + stocks,1.0,1.0,26162.0,24325.0,99.99617780835531,5.0,5.0,28518.0,26398.0,99.98247028713669,0.0,27.0,0.0
