# links whose baseline route crosses rhine_mainz_koblenz; definition: any
# built 2026-09-21T21:34:10 from EU_logistic_routes.pkl (modified 2026-09-17T09:24:01); stage fingerprint: {'hash': 'add769
# counts {'total': 5746, 'dry_bulk': 3583, 'liquid_bulk': 2124, 'container': 39}; matches the extraction of 17 Sep 2026: True
seller_id,buyer_id,cargo_type,n_routes
11710,6349,dry_bulk,1
11710,9690,dry_bulk,1
11710,9692,dry_bulk,1
11710,9693,dry_bulk,1
11710,9697,dry_bulk,1
11710,9700,dry_bulk,1
11710,9701,dry_bulk,1
11710,9703,dry_bulk,1
11710,9704,dry_bulk,1
11710,9713,dry_bulk,1
11710,9716,dry_bulk,1
11710,9722,dry_bulk,1
11710,9725,dry_bulk,1
11710,9726,dry_bulk,1
11710,9727,dry_bulk,1
11710,9729,dry_bulk,1
11710,9730,dry_bulk,1
11710,9731,dry_bulk,1
11710,9735,dry_bulk,1
11710,9737,dry_bulk,1
11710,9738,dry_bulk,1
11710,9741,dry_bulk,1
11710,9743,dry_bulk,1
11710,9748,dry_bulk,1
11710,9751,dry_bulk,1
11710,9753,dry_bulk,1
11710,9756,dry_bulk,1
11710,9757,dry_bulk,1
11710,9758,dry_bulk,1
11710,9759,dry_bulk,1
11710,9761,dry_bulk,1
11710,9763,dry_bulk,1
11710,9766,dry_bulk,1
11710,9767,dry_bulk,1
11710,9768,dry_bulk,1
11710,9770,dry_bulk,1
11710,9771,dry_bulk,1
11710,9772,dry_bulk,1
11710,9774,dry_bulk,1
11710,9775,dry_bulk,1
11710,9776,dry_bulk,1
11710,9790,dry_bulk,1
11710,9791,dry_bulk,1
11710,9796,dry_bulk,1
11710,9797,dry_bulk,1
11710,9798,dry_bulk,1
11710,9802,dry_bulk,1
11710,9804,dry_bulk,1
11710,9823,dry_bulk,1
11710,9827,dry_bulk,1
11710,9831,dry_bulk,1
11710,9881,dry_bulk,1
11710,9994,dry_bulk,1
11710,9997,dry_bulk,1
11710,9998,dry_bulk,1
11710,hh_234,dry_bulk,1
11710,hh_236,dry_bulk,1
11717,10001,dry_bulk,1
11717,10002,dry_bulk,1
11717,10198,dry_bulk,1
11717,10199,dry_bulk,1
11717,10200,dry_bulk,1
11717,10204,dry_bulk,1
11717,10208,dry_bulk,1
11717,5754,dry_bulk,1
11717,6298,dry_bulk,1
11717,6299,dry_bulk,1
11717,9689,dry_bulk,1
11717,9691,dry_bulk,1
11717,9694,dry_bulk,1
11717,9698,dry_bulk,1
11717,9699,dry_bulk,1
11717,9702,dry_bulk,1
11717,9709,dry_bulk,1
11717,9710,dry_bulk,1
11717,9712,dry_bulk,1
11717,9714,dry_bulk,1
11717,9717,dry_bulk,1
11717,9718,dry_bulk,1
11717,9719,dry_bulk,1
11717,9721,dry_bulk,1
11717,9723,dry_bulk,1
11717,9728,dry_bulk,1
11717,9739,dry_bulk,1
11717,9747,dry_bulk,1
11717,9749,dry_bulk,1
11717,9754,dry_bulk,1
11717,9755,dry_bulk,1
11717,9762,dry_bulk,1
11717,9765,dry_bulk,1
11717,9769,dry_bulk,1
11717,9773,dry_bulk,1
11717,9777,dry_bulk,1
11717,9779,dry_bulk,1
11717,9780,dry_bulk,1
11717,9783,dry_bulk,1
11717,9784,dry_bulk,1
11717,9792,dry_bulk,1
11717,9794,dry_bulk,1
11717,9795,dry_bulk,1
11717,9799,dry_bulk,1
11717,9803,dry_bulk,1
11717,9807,dry_bulk,1
11717,9824,dry_bulk,1
11717,9884,dry_bulk,1
11717,9999,dry_bulk,1
11717,hh_114,dry_bulk,1
11717,hh_115,dry_bulk,1
11717,hh_235,dry_bulk,1
11717,hh_238,dry_bulk,1
11717,hh_239,dry_bulk,1
11717,hh_240,dry_bulk,1
12036,2045,dry_bulk,1
12036,2052,dry_bulk,1
12036,2059,dry_bulk,1
12036,2061,dry_bulk,1
12036,2065,dry_bulk,1
12036,2077,dry_bulk,1
12036,2084,dry_bulk,1
12036,2102,dry_bulk,1
12036,2106,dry_bulk,1
12036,2137,dry_bulk,1
12036,hh_234,dry_bulk,1
12036,hh_235,dry_bulk,1
12036,hh_240,dry_bulk,1
12037,2048,dry_bulk,1
12037,2051,dry_bulk,1
12037,2053,dry_bulk,1
12037,2054,dry_bulk,1
12037,2067,dry_bulk,1
12037,2068,dry_bulk,1
12037,2069,dry_bulk,1
12037,2072,dry_bulk,1
12037,2074,dry_bulk,1
12037,2076,dry_bulk,1
12037,2079,dry_bulk,1
12037,2087,dry_bulk,1
12037,2089,dry_bulk,1
12037,2109,dry_bulk,1
12037,2112,dry_bulk,1
12037,2113,dry_bulk,1
12037,2114,dry_bulk,1
12037,2117,dry_bulk,1
12037,2141,dry_bulk,1
12037,2615,dry_bulk,1
12037,2616,dry_bulk,1
12037,2617,dry_bulk,1
12037,hh_239,dry_bulk,1
12038,2066,dry_bulk,1
12038,2081,dry_bulk,1
12038,2097,dry_bulk,1
12038,2100,dry_bulk,1
12038,2111,dry_bulk,1
12038,2621,dry_bulk,1
12038,hh_238,dry_bulk,1
12039,2050,dry_bulk,1
12039,2056,dry_bulk,1
12039,2057,dry_bulk,1
12039,2075,dry_bulk,1
12039,2078,dry_bulk,1
12039,2085,dry_bulk,1
12039,2104,dry_bulk,1
12039,2105,dry_bulk,1
12039,2119,dry_bulk,1
12039,2170,dry_bulk,1
12039,2620,dry_bulk,1
12039,2622,dry_bulk,1
12040,2071,dry_bulk,1
12041,2080,dry_bulk,1
12041,2088,dry_bulk,1
12041,2108,dry_bulk,1
12043,2070,dry_bulk,1
12044,hh_233,dry_bulk,1
12044,hh_235,dry_bulk,1
12044,hh_236,dry_bulk,1
12044,hh_238,dry_bulk,1
12044,hh_239,dry_bulk,1
12045,hh_234,dry_bulk,1
12045,hh_240,dry_bulk,1
12048,hh_105,dry_bulk,1
12048,hh_106,dry_bulk,1
12048,hh_109,dry_bulk,1
12048,hh_110,dry_bulk,1
12048,hh_111,dry_bulk,1
12048,hh_112,dry_bulk,1
12048,hh_114,dry_bulk,1
12048,hh_115,dry_bulk,1
12048,hh_116,dry_bulk,1
12048,hh_117,dry_bulk,1
12048,hh_118,dry_bulk,1
12048,hh_119,dry_bulk,1
12048,hh_120,dry_bulk,1
12048,hh_188,dry_bulk,1
12048,hh_189,dry_bulk,1
12048,hh_235,dry_bulk,1
12048,hh_236,dry_bulk,1
12048,hh_238,dry_bulk,1
12048,hh_239,dry_bulk,1
12048,hh_240,dry_bulk,1
12048,hh_83,dry_bulk,1
12048,hh_84,dry_bulk,1
12048,hh_85,dry_bulk,1
12048,hh_86,dry_bulk,1
12048,hh_89,dry_bulk,1
12049,hh_234,dry_bulk,1
12052,3226,dry_bulk,1
12052,3227,dry_bulk,1
12052,3230,dry_bulk,1
12052,hh_233,dry_bulk,1
12052,hh_234,dry_bulk,1
12052,hh_235,dry_bulk,1
12052,hh_236,dry_bulk,1
12052,hh_238,dry_bulk,1
12052,hh_239,dry_bulk,1
12052,hh_240,dry_bulk,1
12053,3231,dry_bulk,1
12053,3232,dry_bulk,1
12064,10045,dry_bulk,1
12064,10047,dry_bulk,1
12064,10049,dry_bulk,1
12064,10051,dry_bulk,1
12064,2740,dry_bulk,1
12064,2741,dry_bulk,1
12064,2829,dry_bulk,1
12064,2830,dry_bulk,1
12064,2851,dry_bulk,1
12064,2854,dry_bulk,1
12064,2867,dry_bulk,1
12064,2881,dry_bulk,1
12064,3302,dry_bulk,1
12064,3303,dry_bulk,1
12064,3306,dry_bulk,1
12064,3308,dry_bulk,1
12064,hh_233,dry_bulk,1
12064,hh_234,dry_bulk,1
12064,hh_235,dry_bulk,1
12064,hh_236,dry_bulk,1
12064,hh_239,dry_bulk,1
12064,hh_240,dry_bulk,1
12065,10041,dry_bulk,1
12065,10043,dry_bulk,1
12065,10044,dry_bulk,1
12065,10050,dry_bulk,1
