== cumulated value-added loss (mUSD), % of a quarter, peak week (% of a week's VA), loss weeks (> 0.01 % of a week) ==
   gross = weekly shortfalls clipped at zero; net = backlog left at the end for goods and construction (A-F) + gross for the perishable sectors; delay = carrying cost of the backlog while outstanding
run                        2026_cal_base  2026_cal_nopool  2018_cal_nopool  2026_cal_seed1  2026_cal_seed2  2026_cal_seed3  2026_cal_seed4  2026_cal_seed5  2026_cal_seed6  2026_cal_seed7  2026_cal_seed8  2026_cal_seed9  2026_cal_seed10  2026_cal_deep20  2026_cal_fleet40  2026_cal_fleet20  2026_cal_stock7  2026_cal_stock7t  2026_cal_package  2026_cal_liq60
AUT_gross_perishable_mUSD          2.000          459.000          213.000           2.000           2.000           3.000           3.000           2.000           2.000           2.000           3.000           2.000            2.000            1.000             2.000             1.000            2.000            12.000               0.0           2.000
FRA_net_mUSD                     529.000          638.000          233.000         766.000         268.000         543.000         204.000         298.000         132.000         148.000         187.000         935.000          279.000          196.000           490.000            47.000          408.000           896.000               0.0         547.000
FRA_delay_mUSD                    19.800           16.400            0.800           4.400           0.800          16.200           4.400           2.000           1.600           2.700           2.200          14.300            1.500            0.500            14.600             1.500           11.600            30.000               0.0          14.900
FRA_net_deferrable_mUSD          255.000          261.000            5.000          63.000          11.000         361.000          73.000          32.000          25.000          49.000          39.000         290.000           25.000            6.000           255.000            19.000          196.000           574.000               0.0         256.000
FRA_gross_perishable_mUSD        274.000          377.000          228.000         703.000         257.000         182.000         132.000         266.000         107.000          99.000         147.000         645.000          254.000          190.000           235.000            28.000          211.000           322.000               0.0         291.000
CHE_net_mUSD                       4.000            5.000            1.000           4.000           4.000           4.000           4.000           4.000           4.000           4.000           4.000           4.000            4.000            0.000             4.000             1.000            4.000            14.000               0.0           4.000
CHE_delay_mUSD                     0.300            0.200            0.000           0.200           0.200           0.200           0.200           0.200           0.200           0.200           0.200           0.200            0.200            0.000             0.200             0.100            0.200             0.300               0.0           0.200
CHE_net_deferrable_mUSD            4.000            4.000            1.000           4.000           4.000           4.000           4.000           4.000           4.000           4.000           4.000           4.000            4.000            0.000             4.000             1.000            4.000             5.000               0.0           4.000
CHE_gross_perishable_mUSD          0.000            1.000            1.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000            0.000            0.000             0.000             0.000            0.000             8.000               0.0           0.000
BEL_net_mUSD                      16.000           30.000           23.000          11.000          13.000          41.000          18.000          11.000          10.000          14.000           7.000          29.000           13.000           17.000            19.000            10.000           19.000            26.000               0.0          15.000
BEL_delay_mUSD                     0.700            1.000            0.700           0.300           0.400           1.300           0.600           0.400           0.200           0.400           0.100           0.900            0.400            0.500             0.600             0.300            0.600             0.400               0.0           0.600
BEL_net_deferrable_mUSD            5.000           11.000            9.000           0.000           1.000          23.000           4.000           1.000           0.000           3.000           0.000          14.000            3.000            6.000             7.000             4.000            6.000             2.000               0.0           3.000
BEL_gross_perishable_mUSD         12.000           19.000           15.000          11.000          12.000          19.000          14.000          10.000           9.000          10.000           7.000          15.000           10.000           11.000            12.000             6.000           13.000            23.000               0.0          11.000
NLD_cum_mUSD                     168.000          198.000          125.000         207.000         157.000         220.000         197.000         170.000         145.000         145.000         157.000         207.000          150.000          119.000           155.000            61.000          178.000           168.000               0.0         160.000
NLD_%quarter                       0.072            0.085            0.054           0.089           0.067           0.094           0.084           0.073           0.062           0.062           0.067           0.089            0.064            0.051             0.066             0.026            0.076             0.072               0.0           0.068
NLD_peak_%week                     0.147            0.141            0.118           0.160           0.142           0.157           0.156           0.153           0.141           0.137           0.140           0.150            0.139            0.115             0.147             0.075            0.147             0.147               0.0           0.134
NLD_peak_week                      9.000           10.000           16.000           9.000           9.000           9.000           9.000           9.000           8.000           8.000           9.000           9.000            9.000            9.000             9.000            10.000            9.000             9.000              23.0           9.000
NLD_loss_weeks                    12.000           12.000            8.000          12.000          11.000          13.000          12.000          11.000          11.000          11.000          11.000          12.000           11.000           10.000            10.000             6.000           12.000            11.000               0.0          13.000
AUT_cum_mUSD                      17.000          497.000          220.000          18.000          20.000          22.000          12.000          19.000          17.000          11.000          19.000          19.000           19.000            1.000            17.000             6.000           16.000            28.000               0.0          16.000
AUT_%quarter                       0.015            0.453            0.201           0.016           0.018           0.020           0.011           0.018           0.016           0.010           0.018           0.017            0.017            0.001             0.015             0.005            0.015             0.026               0.0           0.015
AUT_peak_%week                     0.034            1.204            0.622           0.034           0.035           0.038           0.024           0.037           0.031           0.024           0.038           0.034            0.038            0.007             0.034             0.023            0.031             0.050               0.0           0.028
AUT_peak_week                      9.000           19.000           21.000           8.000           8.000           9.000           8.000           9.000           8.000           9.000           9.000           8.000            9.000            9.000             9.000             9.000            8.000            17.000              15.0           8.000
AUT_loss_weeks                     8.000           13.000            8.000           7.000           9.000           9.000           8.000           9.000           8.000           7.000           7.000           9.000            8.000            0.000             8.000             3.000            8.000            12.000               0.0           9.000
FRA_cum_mUSD                     607.000          790.000          266.000         813.000         282.000         560.000         241.000         316.000         150.000         161.000         197.000         989.000          291.000          205.000           563.000            79.000          487.000           968.000               0.0         628.000
FRA_%quarter                       0.093            0.121            0.041           0.125           0.043           0.086           0.037           0.049           0.023           0.025           0.030           0.152            0.045            0.032             0.087             0.012            0.075             0.149               0.0           0.097
FRA_peak_%week                     0.207            0.245            0.131           0.261           0.091           0.190           0.076           0.111           0.049           0.051           0.064           0.333            0.095            0.081             0.207             0.056            0.181             0.272               0.0           0.199
FRA_peak_week                      9.000           10.000           16.000          15.000           9.000          15.000          15.000           9.000           9.000          15.000           9.000          15.000            9.000            9.000             9.000            14.000           14.000            15.000              21.0           9.000
FRA_loss_weeks                    11.000           11.000            6.000          10.000           8.000          15.000          10.000           9.000           9.000          10.000           9.000          14.000            8.000            6.000            11.000             5.000           11.000            13.000               0.0          11.000
CHE_cum_mUSD                       4.000            6.000            2.000           4.000           5.000           4.000           4.000           5.000           4.000           5.000           5.000           4.000            5.000            0.000             4.000             1.000            4.000            14.000               0.0           4.000
CHE_%quarter                       0.002            0.003            0.001           0.002           0.002           0.002           0.002           0.002           0.002           0.002           0.002           0.002            0.002            0.000             0.002             0.001            0.002             0.007               0.0           0.002
CHE_peak_%week                     0.004            0.006            0.003           0.004           0.004           0.004           0.004           0.004           0.004           0.004           0.004           0.004            0.004            0.001             0.004             0.003            0.004             0.014               0.0           0.004
CHE_peak_week                      8.000           10.000           16.000           8.000           9.000           8.000           8.000           9.000           8.000           9.000           8.000           8.000            8.000           10.000             8.000             9.000            8.000             9.000              27.0           8.000
CHE_loss_weeks                     0.000            0.000            0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000            0.000            0.000             0.000             0.000            0.000             3.000               0.0           0.000
BEL_cum_mUSD                      33.000           49.000           35.000          28.000          32.000          47.000          37.000          28.000          25.000          28.000          18.000          39.000           28.000           29.000            31.000            14.000           36.000            45.000               0.0          31.000
BEL_%quarter                       0.024            0.036            0.026           0.020           0.023           0.035           0.027           0.020           0.018           0.020           0.013           0.029            0.020            0.021             0.023             0.010            0.026             0.033               0.0           0.022
BEL_peak_%week                     0.057            0.062            0.055           0.053           0.057           0.063           0.058           0.053           0.052           0.053           0.047           0.059            0.055            0.051             0.057             0.027            0.057             0.057               0.0           0.050
BEL_peak_week                      9.000           10.000           21.000           9.000           9.000           9.000           9.000           9.000           9.000           9.000           8.000           9.000            9.000            9.000             9.000             9.000            9.000             9.000              26.0           9.000
BEL_loss_weeks                     9.000           12.000            8.000           8.000           9.000          12.000          10.000           9.000           8.000           8.000           6.000          10.000            8.000            8.000             8.000             5.000           10.000            12.000               0.0           9.000

# 2026_cal_stock7t: row and weekly column replaced by the laptop rerun of 16 Sep 19:39 (inventory-helper fix, KI-36); the summary table above still shows the wrong-scale cluster run for that name
== weekly value-added loss of DEU (mUSD/week) ==
           2026_cal_base  2026_cal_nopool  2018_cal_nopool  2026_cal_seed1  2026_cal_seed2  2026_cal_seed3  2026_cal_seed4  2026_cal_seed5  2026_cal_seed6  2026_cal_seed7  2026_cal_seed8  2026_cal_seed9  2026_cal_seed10  2026_cal_deep20  2026_cal_fleet40  2026_cal_fleet20  2026_cal_stock7  2026_cal_stock7t  2026_cal_package  2026_cal_liq60
time_step                                                                                                                                                                                                                                                                                                                                            
0                    0.0              0.0              0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0              0.0               0.0               0.0              0.0               0.0               0.0             0.0
1                    0.0              0.0              0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0              0.0               0.0               0.0              0.0               0.0               0.0             0.0
2                    0.0              0.0              0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0              0.0               0.0               0.0              0.0               0.0               0.0             0.0
3                    0.0              0.0              0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0              0.0               0.0               0.0              0.0               0.0               0.0             0.0
4                    0.0              0.0              0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0              0.0               0.0               0.0              0.0               0.0               0.0             0.0
5                    0.0              0.0              0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0              0.0               0.0               0.0              0.0               0.0               0.0            27.3
6                    0.0              0.0              0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0              0.0               0.0               0.0              0.0               0.0               0.0            26.1
7                   38.6             38.6              0.0            35.2            93.7            24.6            64.1            52.5            47.7            37.4            53.7            25.2             94.5             27.3              38.6               0.0             38.6              38.6               0.0           261.3
8                  295.8            331.5              0.0           503.4           399.2           385.3           440.1           599.7           386.0           324.2           424.5           335.8            541.2            281.5             295.8               0.0             53.4              53.4               0.0           403.0
9                  402.9            445.5              0.0           528.1           514.7           393.5           506.4           764.6           496.3           372.0           537.5           407.3            651.2            387.9             402.9              38.6            260.7             267.2               0.0           454.9
10                 437.2            633.4              0.0           602.3           573.8           353.4           467.3           822.5           535.4           438.9           525.0           385.6            672.9            423.3             437.2              32.5            363.2             408.5               0.0           511.3
11                 107.3            192.0              0.0            27.6           124.2            11.1           272.5            56.2            77.8            32.2            35.5            16.3             50.0            101.7             107.3               8.9             33.1              33.0               0.0           495.9
12                   8.7             42.4              0.0            12.0            16.5             2.9             4.8            18.0            14.9            13.9            11.2             2.8              6.9              6.9               8.7               1.3              5.9               5.8               0.0           143.8
13                  76.3            224.0              0.0           171.6           155.3            99.1            94.1           172.0           111.0           108.7           166.2            84.1            241.6             68.1              76.3               0.1             31.8              30.6               0.0           392.2
14                 427.5            606.4              0.0           551.5           578.0           403.8           482.6           838.7           533.3           450.6           566.7           398.5            678.3            416.4             427.5             125.9            380.7             373.7               0.0           764.5
15                 764.1           1156.7             27.3           741.2           838.7           445.3           850.8          1108.9           911.1           552.1           743.6           460.4            924.1            751.9             764.1              27.5            436.7             427.4               0.0          1116.3
16                1037.8           1487.3            328.7           721.7           953.7           427.5          1040.6          1235.6          1064.5           547.0           581.7           478.8            890.9            600.4             605.3               5.2            512.5             674.0               0.0          1089.3
17                1041.9           1622.8             34.1           702.2           942.1           433.8          1056.3          1175.2          1133.0           561.3           548.9           479.3            954.3              9.6              11.6               0.4            641.0             918.2               0.0          1061.9
18                 511.3           1259.0            324.1            47.5           418.4             5.3           549.1           352.8           640.2            38.0            47.0             5.3            381.7              4.3               5.2               0.1            388.9             438.8               0.0           404.1
19                  13.8            179.8            569.8            23.2            22.2             2.4            11.6            25.0            25.7            19.4            14.9             0.7             11.6              0.3               0.7               0.0              8.5               8.8               0.0            23.3
20                  12.0              3.1            603.2             7.9            13.3             0.3            12.1             8.1            20.9             4.1             1.9             0.2              9.1              0.0               0.1               0.0              2.8               3.1               0.0             7.9
