date,kaub_cm,source
2026-06-01,107.8,"PEGELONLINE WSV long-term raw download (ungepruefte Rohdaten, DL-DE->Zero-2.0), daily mean of 15-min W values in legal time, https://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=25700100"
2026-06-02,110.6,"PEGELONLINE WSV long-term raw download (ungepruefte Rohdaten, DL-DE->Zero-2.0), daily mean of 15-min W values in legal time, https://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=25700100"
2026-06-03,116.3,"PEGELONLINE WSV long-term raw download (ungepruefte Rohdaten, DL-DE->Zero-2.0), daily mean of 15-min W values in legal time, https://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=25700100"
2026-06-04,131.7,"PEGELONLINE WSV long-term raw download (ungepruefte Rohdaten, DL-DE->Zero-2.0), daily mean of 15-min W values in legal time, https://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=25700100"
2026-06-05,148.3,"PEGELONLINE WSV long-term raw download (ungepruefte Rohdaten, DL-DE->Zero-2.0), daily mean of 15-min W values in legal time, https://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=25700100"
2026-06-06,155.2,"PEGELONLINE WSV long-term raw download (ungepruefte Rohdaten, DL-DE->Zero-2.0), daily mean of 15-min W values in legal time, https://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=25700100"
2026-06-07,154.1,"PEGELONLINE WSV long-term raw download (ungepruefte Rohdaten, DL-DE->Zero-2.0), daily mean of 15-min W values in legal time, https://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=25700100"
2026-06-08,146.1,"PEGELONLINE WSV long-term raw download (ungepruefte Rohdaten, DL-DE->Zero-2.0), daily mean of 15-min W values in legal time, https://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=25700100"
2026-06-09,135.1,"PEGELONLINE WSV long-term raw download (ungepruefte Rohdaten, DL-DE->Zero-2.0), daily mean of 15-min W values in legal time, https://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=25700100"
2026-06-10,125.5,"PEGELONLINE WSV long-term raw download (ungepruefte Rohdaten, DL-DE->Zero-2.0), daily mean of 15-min W values in legal time, https://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=25700100"
2026-06-11,123.9,"PEGELONLINE WSV long-term raw download (ungepruefte Rohdaten, DL-DE->Zero-2.0), daily mean of 15-min W values in legal time, https://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=25700100"
2026-06-12,127.6,"PEGELONLINE WSV long-term raw download (ungepruefte Rohdaten, DL-DE->Zero-2.0), daily mean of 15-min W values in legal time, https://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=25700100"
2026-06-13,136.6,"PEGELONLINE WSV long-term raw download (ungepruefte Rohdaten, DL-DE->Zero-2.0), daily mean of 15-min W values in legal time, https://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=25700100"
2026-06-14,140.0,"PEGELONLINE WSV long-term raw download (ungepruefte Rohdaten, DL-DE->Zero-2.0), daily mean of 15-min W values in legal time, https://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=25700100"
