,time_step,id,flow_total,flow_total_tons,flow_domestic_B2C_manufacturing,flow_domestic_B2C,flow_manufacturing,flow_domestic_B2B_manufacturing,flow_domestic_B2B,flow_domestic_B2C_agriculture,flow_agriculture,flow_import_B2C_imports,flow_import_B2C,flow_imports,flow_import_imports,flow_import,flow_domestic_B2B_agriculture,flow_domestic_B2B_mining,flow_mining,flow_export_manufacturing,flow_export,flow_export_mining,flow_export_agriculture
32,0,1769,0.15936084645787427,281.74247538007336,,0.028809879445675795,,,4.8312277291377815e-06,0.028809879445675795,0.1560153592401966,0.0033406559899485464,0.0033406559899485464,0.0033406559899485464,,,,4.8312277291377815e-06,4.8312277291377815e-06,,0.1272054797945208,,0.1272054797945208
33,0,1744,0.0017106135634323589,3.029283728412504,,,,,0.0017106135634323589,,0.0017106135634323589,,,,,,0.0017106135634323589,,,,,,
36,0,9,0.2489240006250024,430.2281870828294,,0.010747126928068949,3.4280821917804445e-07,,0.0029022805117524487,0.010747126928068949,0.23575077764530109,0.0131728801714821,0.0131728801714821,0.0131728801714821,,,0.0029022805117524487,,,3.4280821917804445e-07,0.22210171301369888,,0.2221013702054797
37,0,11,0.25050309206104054,435.31259839927526,,0.011683830939366206,,,0.0006633877913747917,0.011683830939366206,0.23444858893622067,0.016054503124819836,0.016054503124819836,0.016054503124819836,,,0.0006633877913747917,,,,0.2221013702054797,,0.2221013702054797
38,0,308,0.011533768316069866,17.361702683718885,,0.009294532787473032,3.4280821917804445e-07,,0.002238892720377657,0.009294532787473032,0.01153342550785069,,,,,,0.002238892720377657,,,3.4280821917804445e-07,3.4280821917804445e-07,,
39,0,316,0.264006250685388,465.84306019776636,,0.0038356375189259745,3.8356164383561644e-05,,0.031606197590480264,0.0038356375189259745,0.25754320531488595,0.006424689206118533,0.006424689206118533,0.006424689206118533,,,0.031606197590480264,,,3.8356164383561644e-05,0.22213972636986326,,0.2221013702054797
40,0,948,0.048206857449342,76.56031175087435,,0.0069114894091429745,3.869897260273969e-05,,0.03450847810223272,0.0069114894091429745,0.041419967511375694,0.006748190965363568,0.006748190965363568,0.006748190965363568,,,0.03450847810223272,,,3.869897260273969e-05,3.869897260273969e-05,,
41,0,10,0.2631814510954205,457.7643943786993,,0.02436218997374617,,,0.0006633877913747917,0.02436218997374617,0.24712694797060064,0.016054503124819836,0.016054503124819836,0.016054503124819836,,,0.0006633877913747917,,,,0.2221013702054797,,0.2221013702054797
42,0,1725,0.42839624265356263,715.3710106958883,0.004000477140896948,0.0745491985103863,0.011017237435374692,0.004096211321875001,0.012378195460334838,0.07054872136948936,0.30092792975967225,0.1141909958251639,0.1141909958251639,0.11644624423078663,0.0022552484056227308,0.0022552484056227308,0.008277152910730695,4.8312277291377815e-06,4.8312277291377815e-06,0.002920548972602743,0.22502260445205496,,0.22210205547945222
43,0,1728,0.4195602324685601,358.5580987083008,0.007307587581873722,0.06799349984989919,0.014324347876351465,0.004096211321875001,0.04355190377508471,0.06068591226802547,0.3146038974661086,0.08837190749274819,0.08837190749274819,0.09062715589837092,0.0022552484056227308,0.0022552484056227308,0.03945086122548057,4.8312277291377815e-06,4.8312277291377815e-06,0.002920548972602743,0.2173876729452053,,0.21446712397260256
46,0,639,0.04871899294096439,77.46723996930923,,0.007950156846923968,3.869897260273969e-05,,0.03398194615607412,0.007950156846923968,0.041932103002998086,0.006748190965363568,0.006748190965363568,0.006748190965363568,,,0.03398194615607412,,,3.869897260273969e-05,3.869897260273969e-05,,
47,0,1723,0.5581063854805438,942.5005793053003,0.004000477140896948,0.06218624634192937,0.011017237435374692,0.004096211321875001,0.013808334689335372,0.05818576920103242,0.4238827883955585,0.12094628001625876,0.12094628001625876,0.12320152842188149,0.0022552484056227308,0.0022552484056227308,0.00970729213973123,4.8312277291377815e-06,4.8312277291377815e-06,0.002920548972602743,0.35891027602739767,,0.3559897270547949
48,0,13,0.13881810195924738,245.8295821240191,,0.011092714459861769,,,0.0005199077048648312,0.011092714459861769,0.13881810195924738,,,,,,0.0005199077048648312,,,,0.1272054797945208,,0.1272054797945208
49,0,18,0.416600306655908,325.6711077556593,0.02826087083826102,0.09834044219881984,0.03296659705897839,0.0017848344398954555,0.04359117838667833,0.07007957136055883,0.3263523540059718,0.056443006159080995,0.056443006159080995,0.05728135559095789,0.0008383494318768989,0.0008383494318768989,0.04180634394678288,,,0.002920891780821921,0.21738733047945197,,0.21446643869863005
50,0,305,0.004783684094638674,1.9277397843539967,,0.004783684094638674,,,,0.004783684094638674,0.004783684094638674,,,,,,,,,,,,
51,0,1856,0.5602020927097943,573.4284296640324,0.02826087083826102,0.11421684075332028,0.03296659705897839,0.0017848344398954555,0.04411108609154316,0.08595596991505929,0.4699541400598578,0.056443006159080995,0.056443006159080995,0.05728135559095789,0.0008383494318768989,0.0008383494318768989,0.04232625165164771,,,0.002920891780821921,0.34459281027397276,,0.3416719184931508
52,0,24,0.13881810195924738,245.8295821240191,,0.011092714459861769,,,0.0005199077048648312,0.011092714459861769,0.13881810195924738,,,,,,0.0005199077048648312,,,,0.1272054797945208,,0.1272054797945208
58,0,949,0.5399499699111565,558.2396291113669,0.017699817190986063,0.10365578710604534,0.02103795014516435,0.0004172411733563631,0.04274349282500407,0.08595596991505929,0.4699541400598578,0.048957879706134175,0.048957879706134175,0.048957879706134175,,,0.04232625165164771,,,0.002920891780821921,0.34459281027397276,,0.3416719184931508
60,0,953,0.5399499699111565,558.2396291113669,0.017699817190986063,0.10365578710604534,0.02103795014516435,0.0004172411733563631,0.04274349282500407,0.08595596991505929,0.4699541400598578,0.048957879706134175,0.048957879706134175,0.048957879706134175,,,0.04232625165164771,,,0.002920891780821921,0.34459281027397276,,0.3416719184931508
62,0,20,0.02185319056394685,36.95500012717859,,0.02057803214755548,,,0.001275158416391368,0.02057803214755548,0.02185319056394685,,,,,,0.001275158416391368,,,,,,
63,0,1213,0.4384534972198549,362.62610788283786,0.02826087083826102,0.11891847434637531,0.03296659705897839,0.0017848344398954555,0.0448663368030697,0.0906576035081143,0.34820554456991865,0.056443006159080995,0.056443006159080995,0.05728135559095789,0.0008383494318768989,0.0008383494318768989,0.04308150236317425,,,0.002920891780821921,0.21738733047945197,,0.21446643869863005
65,0,23,0.02185319056394685,36.95500012717859,,0.02057803214755548,,,0.001275158416391368,0.02057803214755548,0.02185319056394685,,,,,,0.001275158416391368,,,,,,
66,0,21,0.01086035652464519,8.425870415332625,0.002938310599943217,0.007721994694581891,0.002938310599943217,,,0.004783684094638674,0.004783684094638674,0.0031383618300632977,0.0031383618300632977,0.0031383618300632977,,,,,,,,,
67,0,22,0.01086035652464519,8.425870415332625,0.002938310599943217,0.007721994694581891,0.002938310599943217,,,0.004783684094638674,0.004783684094638674,0.0031383618300632977,0.0031383618300632977,0.0031383618300632977,,,,,,,,,
68,0,76,0.01854704521340587,31.055614054651834,,0.011896639431337983,,,,0.011896639431337983,0.011896639431337983,0.006650405782067887,0.006650405782067887,0.006650405782067887,,,,,,,,,
70,0,303,0.027929862993953364,43.45313075815722,0.002938310599943217,0.023516342747498697,0.002938310599943217,,0.001275158416391368,0.02057803214755548,0.02185319056394685,0.0031383618300632977,0.0031383618300632977,0.0031383618300632977,,,0.001275158416391368,,,,,,
