outcome,bin,tau,coef,se,ci_low,ci_high,period,pct_change,pct_ci_low,pct_ci_high
purchases,bin_56,0,-0.02323321687507862,0.021612666684014094,-0.06563606920812914,0.0191696354579719,acute,-2.2965403754678593,-6.352838686090667,1.9354552628038757
purchases,bin_56,1,0.01113122222052851,0.020810991593906012,-0.029698788086041247,0.051961232527098264,post,1.1193404783053085,-2.926211266692791,5.333490658936935
purchases,bin_56,2,0.0432492974426042,0.023505750529523552,-0.002867680311840738,0.08936627519704915,post,4.419817834069262,-0.28635724442771515,9.34810979905647
purchases,bin_56,3,0.002792565466189254,0.023161991620070713,-0.04264997638967771,0.04823510732205623,post,0.279646830926672,-4.175325964301346,4.941735202658792
purchases,bin_56,4,0.05142788622869276,0.024138736640722632,0.004069024860602906,0.0987867475967826,post,5.277326410424266,0.4077314582141778,10.383087986998895
purchases,bin_56,5,-0.012802184945909902,0.024746636563787484,-0.061353712219038556,0.035749342327218755,post,-1.272058556418465,-5.950948205249739,3.6396033312410925
purchases,bin_56,6,-0.008540280195010257,0.023958748587195922,-0.05554601499306647,0.03846545460304596,post,-0.8503915597024014,-5.403150606475748,3.9214827649143746
purchases,bin_56,7,0.008661810230569406,0.02507983725367444,-0.040543438300426865,0.05786705876156567,post,0.8699432255298234,-3.9732548780593957,5.957412525032457
purchases,bin_56,8,0.02286085265971822,0.02728693587372665,-0.030674600849628808,0.07639630616906525,post,2.3124164635615063,-3.0208909064351808,7.939025842297176
purchases,bin_56,9,0.05473975337934643,0.027370446714078175,0.0010404562368463571,0.1084390505218465,post,5.626568932668996,0.10409976992098446,11.453697602106526
purchases,bin_56,10,0.013477242665563712,0.030082417710515435,-0.04554279103271279,0.07249727636384021,post,1.3568470071094962,-4.4521284223816515,7.518987766013763
purchases,bin_56,11,0.0032031148536549475,0.02721447645132197,-0.05019017729109582,0.05659640699840571,post,0.3208250307723537,-4.8951460533790065,5.8228630528528225
purchases,bin_56,12,0.040553758784896726,0.03090675594042683,-0.02008358076214277,0.10119109833193622,post,4.138729191315638,-1.9883249021797944,10.648806958543311
purchases,bin_67,0,-0.07532029607492184,0.03225110088066439,-0.1385951657712483,-0.012045426378595389,acute,-7.255361868532761,-12.9419602128222,-1.197317063832215
purchases,bin_67,1,0.0007660511627730394,0.03447094108692357,-0.0668640217967675,0.06839612412231356,post,0.07663446549035502,-6.467762385376896,7.0789389986062545
purchases,bin_67,2,0.08545703436534963,0.0347422347117815,0.017294698373119227,0.15361937035758003,post,8.921476153518126,1.7445117569371504,16.604697025857142
purchases,bin_67,3,0.03648649160931983,0.03404298511699732,-0.030303955492702053,0.1032769387113417,post,3.716029355667727,-2.9849393877105945,10.879843577019631
purchases,bin_67,4,-0.02305072689232601,0.03340022514653609,-0.08858011461136936,0.042478660826717335,post,-2.278708845817834,-8.47702154797143,4.339379097520868
purchases,bin_67,5,-0.001623622686194957,0.029454987173238682,-0.059412672498476905,0.056165427126086985,post,-0.1622305323944251,-5.7682179740882855,5.777265355396599
purchases,bin_67,6,-0.02033490700158018,0.03291365636849141,-0.08490967378712429,0.04423985978396393,post,-2.012954712714621,-8.140474611530967,4.523303419307356
purchases,bin_67,7,0.00737087397968137,0.032806997974273513,-0.05699463495692516,0.0717363829162879,post,0.7398105737461247,-5.540086283201173,7.437208389376626
purchases,bin_67,8,-0.05386882886268534,0.03781250206747344,-0.1280548589788197,0.02031720125344904,post,-5.2443609600211545,-12.01948873893086,2.052500050062278
purchases,bin_67,9,0.057282701827687736,0.03805557182851444,-0.017380217667010693,0.13194562132238616,post,5.895513663603524,-1.7230052907887816,14.104626899294036
purchases,bin_67,10,0.0518827298123149,0.033744226693398896,-0.014321569846436177,0.11808702947106597,post,5.325222018522213,-1.4219503993706084,12.53420450286702
purchases,bin_67,11,-0.025371474181549714,0.03640778720835902,-0.09680153171864427,0.046058583355544844,post,-2.505232313832384,-9.226385491061272,4.7135753886256015
purchases,bin_67,12,-0.006938314533144577,0.03789696492327279,-0.08129005608389506,0.06741342701760591,post,-0.6914300001087836,-7.80737576566305,6.973764521068282
purchases,bin_7p,0,-0.22182024180693463,0.039073252812183455,-0.29847979490097454,-0.14516068871289473,acute,-19.894065162588205,-25.805472722363387,-13.511669504095124
purchases,bin_7p,1,-0.105640937696255,0.03967411665534658,-0.1834793522971334,-0.02780252309537659,post,-10.025234445145948,-16.763093793046615,-2.7419589992560556
purchases,bin_7p,2,0.06793749096984308,0.033198496445421104,0.0028038837645964765,0.1330710981750897,post,7.0298403072545534,0.2807818323168121,14.233121310834873
purchases,bin_7p,3,0.004341642336195916,0.04019396370083181,-0.07451668331165141,0.08319996798404324,post,0.4351080919991812,-7.180801138640891,8.675910384859954
purchases,bin_7p,4,0.09419539938654001,0.038243495804525685,0.01916378348240967,0.16922701529067036,post,9.877442479098054,1.9348587407561624,18.438898281617845
purchases,bin_7p,5,0.06853845881091562,0.037209005851594146,-0.004463545229231924,0.14154046285106317,post,7.0941811307607905,-0.4453598416078508,15.204711842870179
purchases,bin_7p,6,0.14031551602515413,0.03622621243779734,0.06924169810883851,0.21138933394146975,post,15.063678593519025,7.169520455192724,23.539324196268208
purchases,bin_7p,7,0.08563456792594898,0.03728908218444945,0.012475458565709335,0.15879367728618862,post,8.940815087609511,1.2553601718028107,17.209609168500183
purchases,bin_7p,8,0.05218372591611115,0.03670737801301184,-0.019834112149678153,0.12420156398190046,post,5.356929271621702,-1.9638710154760486,13.224406762304586
purchases,bin_7p,9,0.04365505376615887,0.044035943016317504,-0.04274102203362469,0.13005112956594245,post,4.462195432367699,-4.184049986306803,13.88866126141506
purchases,bin_7p,10,0.04610650743415871,0.0413728721548026,-0.03506477116016065,0.12727778602847806,post,4.718593810495131,-3.445712510004195,13.573246457685006
purchases,bin_7p,11,0.10796338658785617,0.043757478337386406,0.022113643030794855,0.1938131301449175,post,11.40069570439226,2.235996195357237,21.386942615678972
purchases,bin_7p,12,0.0846232354963925,0.04550068979650678,-0.0046465921792582104,0.17389306317204323,post,8.830695401599709,-0.4635813471034256,18.992831185725034
sales,bin_56,0,0.016765063336928676,0.015494430418010177,-0.013631762747741027,0.04716188942159838,acute,1.6906385665944823,-1.3539271022012578,4.8291702680898885
sales,bin_56,1,0.0016883366336381423,0.017292131889303928,-0.032235203083018596,0.03561187635029488,post,0.16897626763661133,-3.17211868678019,3.6253573911096293
sales,bin_56,2,0.033645201870526324,0.018389478163788792,-0.0024311013205079515,0.0697215050615606,post,3.421760315480915,-0.2428148586975487,7.220953474200353
sales,bin_56,3,0.02115252223910914,0.018467577849195754,-0.015076996171235386,0.05738204064945367,post,2.13778225904373,-1.4963907324526016,5.906033721677595
sales,bin_56,4,0.07532997318715508,0.0176842430464374,0.040637193535392975,0.11002275283891719,post,7.823988244099289,4.14741834268626,11.630346924294145
sales,bin_56,5,0.036380944425535425,0.016819750613658355,0.003384117798297108,0.06937777105277373,post,3.7050829985446843,0.3389850389697635,7.184104319553364
sales,bin_56,6,0.06950950750714117,0.019090563979036954,0.032057820838198844,0.1069611941760835,post,7.198225303524741,3.25772080587452,11.289106698658413
sales,bin_56,7,0.04576798185377989,0.019111599871250422,0.00827502717175814,0.08326093653580165,post,4.683149887424776,0.8309359845032338,8.682536399714369
sales,bin_56,8,0.0028864124709500946,0.01902163377526525,-0.03443004758045915,0.040202872522359344,post,0.289058217028515,-3.384407773290221,4.102194751935584
sales,bin_56,9,0.0790227355961165,0.019222614147732235,0.04131199416336587,0.11673347702886713,post,8.222892691039863,4.217720803390246,12.38198659623082
sales,bin_56,10,0.04128066973147269,0.020720678931841444,0.0006310390670658875,0.08193030039587948,post,4.214456293622604,0.06312382141056005,8.538015662584343
sales,bin_56,11,0.024356538902801404,0.019257373449749832,-0.013422392997733398,0.0621354708033362,post,2.4655582348337424,-1.3332714363190612,6.410649032513294
sales,bin_56,12,0.04926002576770786,0.02026493524682252,0.009504468725820565,0.08901558280959515,post,5.049347060055354,0.9549779626944144,9.309768972678366
sales,bin_67,0,0.00035424208236135846,0.021927820601559667,-0.042663547617522585,0.0433720317822453,acute,0.03543048334972987,-4.17662641396147,4.432634517964096
sales,bin_67,1,0.009509383219762838,0.022138577901480494,-0.033921868144663574,0.052940634584189246,post,0.9554741065411987,-3.3352972387184043,5.436705032303157
sales,bin_67,2,0.08464186527739688,0.023891573005540442,0.03777160480661116,0.1315121257481826,post,8.832722912507563,3.849401874800029,14.055173768168206
sales,bin_67,3,0.0746348657765991,0.0232300558366961,0.02906236338990608,0.12020736816329211,post,7.749065033691238,2.9488794884351854,12.773068277434007
sales,bin_67,4,0.05630099683220195,0.024351853177968834,0.008527763101084898,0.104074230563319,post,5.791606520266268,0.8564228053961731,10.96828242395327
sales,bin_67,5,0.0332519076834784,0.023652027499469125,-0.013148414694007009,0.07965223006096381,post,3.3810931359414154,-1.306235189889604,8.291039849837922
sales,bin_67,6,0.09979489772989249,0.02398999116272683,0.052731561455294645,0.14685823400449033,post,10.494426825548441,5.41466335472327,15.81897594666497
sales,bin_67,7,0.06273360813520582,0.025684739672634568,0.012345530368139852,0.11312168590227178,post,6.47431625318069,1.2422050999873369,11.976818466034732
sales,bin_67,8,-0.03223554934172705,0.030205511400112687,-0.09149243404531102,0.02702133536185692,post,-3.1721522142715175,-8.743177942430059,2.7389722261150773
sales,bin_67,9,0.03334047541831382,0.02450091585592508,-0.014725188055317959,0.0814061388919456,post,3.390249770670506,-1.4617302667060406,8.481139120609749
sales,bin_67,10,0.010966231267403155,0.028034650658188793,-0.04403187949960575,0.06596434203441207,post,1.10265807820078,-4.307654925399107,6.818862705358453
sales,bin_67,11,1.9977581748932225e-05,0.02628359093946448,-0.05154292089942694,0.051582876062924804,post,0.0019977781302138453,-5.0237115589882535,5.293644590336344
sales,bin_67,12,0.019084734725286837,0.027572946333564177,-0.03500760889317033,0.07317707834374401,post,1.9268012353373054,-3.4401930902938638,7.592104236319197
sales,bin_7p,0,-0.12388785672791665,0.02398495649774233,-0.1709413160446787,-0.07683439741115461,acute,-11.652108845644982,-15.712896497353302,-7.395680394015858
sales,bin_7p,1,-0.07434077454364052,0.021842643040219233,-0.11719146371459041,-0.031490085372690636,post,-7.164471991543464,-11.058511381779246,-3.0999436314434914
sales,bin_7p,2,0.0722175837549389,0.025519738471478808,0.022153203773463262,0.12228196373641455,post,7.488919704922292,2.240040807297561,13.007269638203777
sales,bin_7p,3,0.042796487427811516,0.023728368133833982,-0.003753599279396183,0.08934657413501922,post,4.372546198153948,-0.37465633317500524,9.345955546383067
sales,bin_7p,4,0.12871548335001387,0.02767185836350195,0.07442909505288266,0.1830018716471451,post,13.736647842636573,7.726895711576454,20.08166555837927
sales,bin_7p,5,0.11485003868382675,0.025238149130057907,0.0653380779915764,0.1643619993760771,post,12.17052125685969,6.751986835711499,17.864090514767916
sales,bin_7p,6,0.17423651550042024,0.025466950423190242,0.1242756946095267,0.22419733639131378,post,19.03370656962704,13.232800469752037,25.131792562960165
sales,bin_7p,7,0.11827530700498387,0.02959347874275169,0.060219102141964805,0.17633151186800294,post,12.55539416007785,6.206922269611481,19.283343155075382
sales,bin_7p,8,0.12023913957262092,0.030840376595595548,0.05973678237255388,0.18074149677268797,post,12.776651293665964,6.155708922950165,19.81054251396417
sales,bin_7p,9,0.10826808703686552,0.02899630933372166,0.05138340343533611,0.16515277063839495,post,11.434644718270581,5.2726434850239645,17.957330911460566
sales,bin_7p,10,0.1257225845016545,0.030602002341843158,0.065687867643239,0.18575730136007,post,13.396754447282454,6.7893341074648506,20.41299842020845
sales,bin_7p,11,0.11120365818776953,0.030183511125420368,0.05198993341363092,0.17041738296190814,post,11.762249665068714,5.336513866884607,18.579968062945152
sales,bin_7p,12,0.13160296498686141,0.03087773856734807,0.07102731142630206,0.19217861854742077,post,14.065534923913315,7.36105473032902,21.18869631226672
